# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /media/lampa/42583FF2583FE379/#Univer/digital_lab/boards/DE0-CV/DE0_CV_Default.csv
# Generated on: Sun Sep  2 17:59:15 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
DRAM_DQ[3],Unknown,PIN_Y11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Unknown,PIN_R10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Unknown,PIN_R11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Unknown,PIN_R12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Unknown,PIN_AA12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Unknown,PIN_AA9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Unknown,PIN_AB8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Unknown,PIN_AA8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Unknown,PIN_AA7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Unknown,PIN_V10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Unknown,PIN_V9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Unknown,PIN_U10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Unknown,PIN_T9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Unknown,PIN_U12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Unknown,PIN_AB6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Unknown,PIN_N8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Unknown,PIN_AB5,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Unknown,PIN_N16,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Unknown,PIN_B16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Unknown,PIN_M16,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Unknown,PIN_C16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Unknown,PIN_D17,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Unknown,PIN_K20,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Unknown,PIN_K21,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Unknown,PIN_K22,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Unknown,PIN_M20,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Unknown,PIN_M21,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Unknown,PIN_N21,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Unknown,PIN_R22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Unknown,PIN_R21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Unknown,PIN_T22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Unknown,PIN_N20,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Unknown,PIN_N19,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Unknown,PIN_M22,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Unknown,PIN_P19,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Unknown,PIN_L22,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Unknown,PIN_P17,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Unknown,PIN_P16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Unknown,PIN_M18,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Unknown,PIN_L18,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Unknown,PIN_L17,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Unknown,PIN_L19,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Unknown,PIN_K17,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Unknown,PIN_K19,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Unknown,PIN_P18,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Unknown,PIN_R15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Unknown,PIN_R17,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Unknown,PIN_R16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Unknown,PIN_T20,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Unknown,PIN_T19,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Unknown,PIN_T18,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Unknown,PIN_T17,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Unknown,PIN_T15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Unknown,PIN_H16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Unknown,PIN_A12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Unknown,PIN_H15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Unknown,PIN_B12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Unknown,PIN_A13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Unknown,PIN_B13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Unknown,PIN_C13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Unknown,PIN_D13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Unknown,PIN_G18,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Unknown,PIN_G17,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Unknown,PIN_H18,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Unknown,PIN_J18,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Unknown,PIN_J19,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Unknown,PIN_G11,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Unknown,PIN_H10,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Unknown,PIN_J11,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Unknown,PIN_H14,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Unknown,PIN_A15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Unknown,PIN_J13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Unknown,PIN_L8,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Unknown,PIN_A14,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Unknown,PIN_B15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Unknown,PIN_C15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Unknown,PIN_E14,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Unknown,PIN_E15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Unknown,PIN_E16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Unknown,PIN_F14,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Unknown,PIN_F15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Unknown,PIN_F13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Unknown,PIN_F12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Unknown,PIN_G16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Unknown,PIN_G15,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Unknown,PIN_G13,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Unknown,PIN_G12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Unknown,PIN_J17,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Unknown,PIN_K16,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Unknown,PIN_U21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Unknown,PIN_V21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Unknown,PIN_W22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Unknown,PIN_W21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Unknown,PIN_Y22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Unknown,PIN_Y21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Unknown,PIN_AA22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Unknown,PIN_AA20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Unknown,PIN_AB20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Unknown,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Unknown,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Unknown,PIN_AB18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Unknown,PIN_AA17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Unknown,PIN_U22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Unknown,PIN_Y19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Unknown,PIN_AB17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Unknown,PIN_AA10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Unknown,PIN_Y14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Unknown,PIN_V14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Unknown,PIN_AB22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Unknown,PIN_AB21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Unknown,PIN_Y16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Unknown,PIN_W16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Unknown,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Unknown,PIN_V16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Unknown,PIN_U17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Unknown,PIN_V18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Unknown,PIN_V19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Unknown,PIN_U20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Unknown,PIN_Y20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Unknown,PIN_V20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Unknown,PIN_U16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Unknown,PIN_U15,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Unknown,PIN_Y15,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Unknown,PIN_P9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Unknown,PIN_N9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Unknown,PIN_M8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Unknown,PIN_T14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Unknown,PIN_P14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Unknown,PIN_C1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Unknown,PIN_C2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Unknown,PIN_W19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Unknown,PIN_U7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Unknown,PIN_W9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Unknown,PIN_M7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Unknown,PIN_M6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Unknown,PIN_AA2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Unknown,PIN_AA1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Unknown,PIN_W2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Unknown,PIN_Y3,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Unknown,PIN_N2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Unknown,PIN_N1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Unknown,PIN_U2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Unknown,PIN_U1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Unknown,PIN_L2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Unknown,PIN_L1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Unknown,PIN_D3,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Unknown,PIN_E2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Unknown,PIN_G2,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Unknown,PIN_G1,2A,B2A_N0,3.3-V LVTTL,,,,,,,,,,,,,
RESET_N,Unknown,PIN_P22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_CLK,Unknown,PIN_H11,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_CMD,Unknown,PIN_B11,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[0],Unknown,PIN_K9,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[1],Unknown,PIN_D12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[2],Unknown,PIN_E12,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SD_DATA[3],Unknown,PIN_C11,7A,B7A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Unknown,PIN_U13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Unknown,PIN_V13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Unknown,PIN_T13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Unknown,PIN_T12,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Unknown,PIN_AA15,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Unknown,PIN_AB15,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Unknown,PIN_AA14,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Unknown,PIN_AA13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Unknown,PIN_AB13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Unknown,PIN_AB12,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[0],Unknown,PIN_B6,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Unknown,PIN_B7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Unknown,PIN_A8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Unknown,PIN_A7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Unknown,PIN_L7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Unknown,PIN_K7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Unknown,PIN_J7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Unknown,PIN_J8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Unknown,PIN_H8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Unknown,PIN_A9,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Unknown,PIN_B10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Unknown,PIN_C9,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Unknown,PIN_A5,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Unknown,PIN_G8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
